Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,state_population,state_area_sq_miles,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Blacktail Mountain Ski Area,Montana,Montana,6676,1440,5236,0,0,0,0,1,2,1,4,27.0,,0.7,1000.0,,,21.0,250.0,42.0,,,12,1068778,147040,0.046707146193367584,,,,0.14814814814814814,0.004,0.0,0.0
Bridger Bowl,Montana,Montana,8700,2600,6100,0,0,0,1,6,1,3,11,105.0,2.0,1.5,2000.0,100.0,122.0,64.0,350.0,63.0,133.0,,12,1068778,147040,0.09341429238673517,0.12828601472134596,0.07407407407407407,,0.10476190476190476,0.0055,0.0,0.0
Discovery Ski Area,Montana,Montana,8150,2380,5770,0,0,0,0,5,2,1,8,74.0,1.0,1.5,2400.0,25.0,116.0,46.0,225.0,49.0,116.0,,12,1068778,147040,0.1120971508640822,0.12197686645636173,0.037037037037037035,,0.10810810810810811,0.0033333333333333335,0.0,0.0
Great Divide,Montana,Montana,7330,1580,5750,0,0,0,0,0,5,1,6,110.0,6.0,3.0,1600.0,150.0,94.0,78.0,180.0,48.0,100.0,100.0,12,1068778,147040,0.07473143390938813,0.09884332281808622,0.2222222222222222,0.14084507042253522,0.05454545454545454,0.00375,0.0,0.0
Lost Trail - Powder Mtn,Montana,Montana,8200,1800,6400,0,0,0,0,0,5,3,8,69.0,2.0,2.5,1800.0,,84.0,81.0,325.0,46.0,80.0,,12,1068778,147040,0.08407286314806166,0.08832807570977919,0.07407407407407407,,0.11594202898550725,0.0044444444444444444,0.0,0.0
Maverick Mountain,Montana,Montana,8520,2020,6500,0,0,0,0,0,1,1,2,22.0,,1.3,255.0,,,83.0,160.0,39.0,,,12,1068778,147040,0.011910322279308735,,,,0.09090909090909091,0.00784313725490196,0.0,0.0
Montana Snowbowl,Montana,Montana,7600,2600,5000,0,0,0,0,0,2,2,4,37.0,,1.2,950.0,20.0,,58.0,300.0,50.0,,10.0,12,1068778,147040,0.044371788883699206,,,0.014084507042253521,0.10810810810810811,0.004210526315789474,0.0,0.0
Red Lodge Mountain,Montana,Montana,9416,2400,7016,0,0,2,0,1,3,1,7,70.0,2.0,2.5,1635.0,496.0,142.0,59.0,250.0,67.0,136.0,,12,1068778,147040,0.076366184026156,0.14931650893796003,0.07407407407407407,,0.1,0.004281345565749235,0.02857142857142857,0.0012232415902140672
Showdown Montana,Montana,Montana,8200,1400,6800,0,0,0,0,1,2,1,4,36.0,1.0,1.8,640.0,,86.0,83.0,250.0,47.0,85.0,,12,1068778,147040,0.029892573563755253,0.0904311251314406,0.037037037037037035,,0.1111111111111111,0.00625,0.0,0.0
Teton Pass Ski Resort,Montana,Montana,7200,1010,6190,0,0,0,0,0,1,2,3,43.0,1.0,3.0,330.0,,40.0,54.0,250.0,39.0,150.0,,12,1068778,147040,0.015413358243811303,0.04206098843322818,0.037037037037037035,,0.06976744186046512,0.00909090909090909,0.0,0.0
Big Mountain Resort,Montana,Montana,6817,2353,4464,0,0,3,2,6,0,3,14,105.0,4.0,3.3,3000.0,600.0,123.0,72.0,333.0,81.0,123.0,600.0,12,1068778,147040,0.14012143858010276,0.12933753943217666,0.14814814814814814,0.8450704225352113,0.13333333333333333,0.004666666666666667,0.02857142857142857,0.001
